c_id,degree_title,defree_title,grad_ yr
1,,"University of Buffalo, Millard Fillmore College, Buffalo, NY. Certificate in Practice Facilitation, 2015",2015
1,Bachelor,"Georgetown University, Washington, DC. B.A., Theology/Christian Ethics, 2010",2010
1,,"Fellow, Institute for HIV Prevention Leadership, CDC, Atlanta, GA, 2008",2008
1,,Effective Behavioral Interventions (EBI),
1,,Core Strategies for Street Outreach - Virginia Department of Health (VDH),
1,,"Creating Lasting Family Connections Implementation Trainer - COPES Louisville, KY",
1,,"Training of Trainers (TOT), Training of Quality Leaders (TQL), Training of Coaching Basics (TCB) - National Quality Center",
1,,"Fundamentals of HIV Prevention Counseling, CDC",
2,PhD,"Doctor of Public Health University of North Carolina- Chapel Hill, 2018",2018
2,Master,"Master of Public Policy: Health Policy and Management Harvard University, 2005",2005
2,Bachelor,"B.A. Summa cum laude, International Relations (Major); Spanish- Portuguese (Major); Economics (Minor) University of Minnesota, 2001",2001
3,,"University of London, University College London and the London School of Economics, Doctor of Sociology,1973",1973
4,Master,"Harvard University Graduate School of Education, Master of Education, Cambridge, MA, 2001",2001
4,Bachelor,"Duke University, Bachelor of Science in Psychology, Durham, NC, 1987",1987
5,PhD,"Ed.D., Education, University of Cincinnati, 1990",1990
5,Master,"M.A., Social Work, University of Chicago, 1977",1977
5,Bachelor,"B.A., Communication and Social Process, Albion College, 1975",1975
6,PhD,"George Washington University, Doctor of Philosophy, Public Policy, Washington, DC, 2006",2006
6,Master,"George Washington University, Master of Philosophy, Public Policy, Washington, DC, 2003",2003
6,Bachelor,"University of Connecticut, Bachelor of Arts, English, Storrs, CT, 1997",1997
7,PhD,"Barry University, Ph.D., Social Work, 2010; MSW, 1981",1981
7,Bachelor,"Florida International University, B.A., Social Work, 1977",1977
7,,Trauma-Informed Human Trafficking Certificate May 2018,2018
7,,"Certified Social Work Supervisor, Florida, January 2000",2000
7,,"Certified HIV Counselor, State of Florida, 1991",1991
7,,"Licensed Clinical Social Worker; Florida, 1981; # SW964",1981
8,Master,"University of Maryland, Master of Public Health, College Park, Maryland, 2018",2018
8,Master,"George Mason University, Master of Arts, Interdisciplinary Studies, Fairfax, Virginia, 2016",2016
8,Bachelor,"James Madison University, Bachelor of Arts, Psychology, Harrisonburg, Virginia, 2012",2012
9,,2004: Association of Certified Chartered Accounts (ACCA),2004
9,Bachelor,"2001: Bachelor of Commerce (Accounting major), Makerere University Kampala",2001
10,Master,Master of Social Work in 2001 from University of North Carolina at Chapel Hill,2001
11,PhD,"Ph.D., Clinical Psychology, The University of Texas at Austin, 1983",1983
11,Master,"M.A., Clinical Psychology, The University of Texas at Austin, 1981",1981
11,Bachelor,"BS, Psychology, University of Dayton, 1978",1978
11,,"Licensed Clinical Psychologist, Virginia, 1985-2013",2013
11,,"Certified Mentor Coach, International Coach Federation, January 2019",2019
11,,"Team Diagnostic Suite and Team Coaching Certification, 2019",2019
11,Master,"Master, Polarity Thinking and Mapping, 2015-2017",2017
11,,Additional certifications prior to 2015 available upon request,2015
12,Master,"M.P.H., Epidemiology, University of Alabama at Birmingham School of Public Health, 1997",1997
12,Bachelor,"B.A., English, Emory University, 1995",1995
12,,"Certificates in Health Communication Leadership, 2016",2016
12,,"Faith-Based Health Care to Reduce Health Disparities, 2006",2006
12,,"Public Health Leadership, 2000",2000
13,Master,"University of California at Los Angeles, Masters in Public Health, Los Angeles California, 1981",1981
13,MD,"Howard University College of Medicine, Doctor of Medicine, Washington DC, 1975",1975
13,Bachelor,"Howard University, Bachelor of Science, Biology, Washington DC, 1972",1972
14,Master,"MPH (Master of Public Health), University of North Carolina (UNC), 1989",1989
14,Bachelor,"BA, Political Science/French, Indiana University (IU), 1981, Honors",1981
15,Master,"M.A., Political Science, University of Wyoming, 2010",2010
15,Bachelor,"B.A. (summa cum laude), Sociology (with a concentration in Criminology), Winthrop University, 2006",2006
15,,"Certifications and Licensures: Certified CLASS K-3 Observer, Teachstone, 2013-2014",2014
16,Bachelor,"Howard University, Bachelor of Science",
17,Bachelor,"Virginia State University, Petersburg, Virginia, Biology B.S. 1971",1971
17,PhD,"Howard University College of Dentistry, Washington, D.C., DDS Degree - 1975",1975
17,MBA,"Loyola College, Sellinger School of Business and Management, Baltimore, Maryland, MBA- 2000",2000
17,Master,"University of Pretoria South Africa, MPHIL-Theology 2010",2010
18,Master,"Graduate Studies, Counseling and Administration, University of the District of Columbia, 1982",1982
18,,"Temple University, Secondary Education Teaching Certification, Philadelphia Pennsylvania, 1977",1977
18,Bachelor,"B.A., Biology, Temple University, 1976",1976
20,Master,"Licensed Master of Social Worker (LMWS), 2003",2003
20,,"Licensed Clinical Social Work (LCSW) candidate, 2019",2019
20,,"Center for Disease Control (CDC) Institute for HIV Prevention Leadership, Leadership and Achievement Certificate, 2006",2006
20,,"Center for Disease Control (CDC) and Prevention Certified Trainer/Coach, 2007",2007
20,Master,"University of South Carolina, Master of Science, Public Health, Columbia South Carolina, 2000",2000
20,Master,"University of South Carolina, Master of Arts, Social Work, Columbia South Carolina, 2000",2000
20,Bachelor,"Warren Wilson College, Bachelor of Arts, Social Work, Asheville North Carolina, 1997",1997
21,Bachelor,"Auburn University, Bachelor of Science, Mathematics, minors in Computer Science and Physics, 1986",1986
22,,1996 - African and Malagasy Council for High Education,1996
22,Master,"1985 - Master in pediatrics: University Francois Rabelais, Tours, France",1985
22,,1986 - Neonatology certificate: general hospital of Bourges (neonatology unity) France,1986
22,,"1984 - Diploma in sports Medicine: University Francois Rabelais, Tours, France",1984
22,MD,"1980 - Doctorate in Medicine, University Francois Rabelais, Tours, France",1980
22,,"1976 - Pre-medicine Diplomas: University of Burundi, Bujumbura, Burundi",1976
23,PhD,"Doctoral Studies, Educational Administration, University of New Mexico",
23,Master,"Master of Science in Education, New York, NY, Bank Street College",
24,Master,"University of California Berkeley, Master of Public Health, Berkeley California, 1993",1993
24,,"Stanford University School of Medicine, Primary Care Associate, Stanford, California, 1982",1982
24,Bachelor,"Holy Names College, Bachelor of Arts, Political Sciences, Oakland, California, 1976",1976
25,Master,"MPH, The Rollins School of Public Health of Emory University, Atlanta, GA. May 1996",1996
25,Bachelor,"Bachelor of Arts, Psychology, University of Michigan, Ann Arbor, MI, May 1987",1987
25,,"Certified Health Education Specialist, #5046, National Commission for Health Education Credentialing, Inc.",
26,Master,"M.S.N., University of Alabama in Birmingham, 1981",1981
26,,"Residency, Health Services Administration, Miami Valley Hospital, 1980",1980
26,Bachelor,"B.S.N., University of North Carolina, 1974",1974
26,,"Additional Training: Breakthrough Series College, Institute of Healthcare Improvement",
26,," Advanced Training Program in Health Care Delivery Improvement, Intermountain Healthcare",
26,,"Certifications and Licensures: Certified Professional In-Patient Safety (CPPS), Certification Board for Professionals in Patient Safety, 2019",2019
26,,"Project Management Professional (PMP), Project Management Institute, 2019",2019
26,,"Certified Professional in Healthcare Quality (CPHQ), National Association of Healthcare Quality, 2019",2019
26,,"Registered Nurse, North Carolina State Board of Nursing, 2019",2019
26,,"Certification in Health Services Administration, Schools of Business and Allied Health, University of Alabama",
27,Bachelor,"Lamar University, B.A., 1975, Sociology",1975
27,Master,"University of Houston, M.A., 1980, Sociology",1980
27,PhD,"The Johns Hopkins University, School of Hygiene and Public Health, Behavioral Sciences and Health Education, Ph.D., 1986",1986
28,PhD,"Ph.D., Educational Research Methodology/Evaluation, University of Pittsburgh, 1984",1984
28,Master,"M.S., Social Psychology, University of Pittsburgh, 1981",1981
28,Bachelor,"A.B., Psychology, Wellesley College, 1976",1976
29,MBA,"MBA, Loyola University of Chicago, Chicago, Illinois,",
29,Bachelor,"BS, Medical Record Administration, University of Illinois, Chicago, Illinois",
29,Bachelor,"BA, History, University of Charleston, Charleston, West Virginia,",
29,,"Fellow, Public Health Leadership Institute, University of Illinois School of Public Health",
29,,"Certificate, University of Delaware Leadership Institute on Developmental Disabilities",
30,Master,"Master's Degree in Management, Finance and Accounting from the University of Yaounde, Cameroun",
31,Master,"M.A., Public Policy and Women's Studies, George Washington University, 1986 B.A., Psychology (with honors), University of Illinois, 1975",1975
32,Master,"Harvard University, Kennedy School of Government, Master of Public Policy, Cambridge, Massachusetts, 2004",2004
32,Bachelor,"University of California, Los Angeles, Bachelor of Arts, Anthropology, Los Angeles, California, 1998",1998
33,Master,"University of California, Berkeley, Master of Public Health, Berkeley, California, 2018",2018
33,Bachelor,"Brandeis University, Bachelor of Arts, Politics & International and Global Studies, Waltham, Massachusetts, 2011",2011
34,Master,"M.P.H., Indiana University, 2016",2016
34,Bachelor,"B.A., Human Biology, Indiana University, 2014",2014
35,PhD,"Walden University, Doctor of Philosophy, Public Health, Minneapolis, MN, 2013",2013
35,Master,"Walden University, Master of Public Health, Minneapolis, MN, 2012",2012
35,Master,"University of Phoenix, Master of Business Administration, Atlanta, GA, 2008",2008
35,Bachelor,"Georgia State University, Bachelor of Science, Biological Sciences; Chemistry, Atlanta, GA 2001",2001
