c_id,project
2,HIV/AIDS International (HAB PEPFAR)
3,HIV/AIDS International (HAB PEPFAR)
4,"Maternal and Child Heath (MCHB, ACF)"
6,"Maternal and Child Heath (MCHB, ACF)"
7,HIV/AIDS Domestic (HAB Ryan White)
8,HIV/AIDS Domestic (HAB Ryan White)
13,HIV/AIDS Domestic (HAB Ryan White)
13,HIV/AIDS International (HAB PEPFAR)
14,HIV/AIDS International (HAB PEPFAR)
17,HIV/AIDS International (HAB PEPFAR)
18,Health Centers (BPHC)   
18,HIV/AIDS Domestic (HAB Ryan White)
18,HIV/AIDS International (HAB PEPFAR)
20,HIV/AIDS Domestic (HAB Ryan White)
22,HIV/AIDS International (HAB PEPFAR)
23,"Maternal and Child Heath (MCHB, ACF)"
23,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
23,Race to the Top
24,"Maternal and Child Heath (MCHB, ACF)"
25,HIV/AIDS Domestic (HAB Ryan White)
26,"Maternal and Child Heath (MCHB, ACF)"
26,Population Assessment of Tobacco and Health Study (PATH)
27,Health Centers (BPHC)   
27,HIV/AIDS Domestic (HAB Ryan White)
29,HIV/AIDS Domestic (HAB Ryan White)
30,HIV/AIDS International (HAB PEPFAR)
31,"Maternal and Child Heath (MCHB, ACF)"
32,HIV/AIDS Domestic (HAB Ryan White)
33,HIV/AIDS Domestic (HAB Ryan White)
38,HIV/AIDS International (HAB PEPFAR)
40,"Maternal and Child Heath (MCHB, ACF)"
41,"Maternal and Child Heath (MCHB, ACF)"
45,HIV/AIDS Domestic (HAB Ryan White)
47,"Maternal and Child Heath (MCHB, ACF)"
50,Environmental Protection Agency (EPA)
50,Evidence-based Home Visiting
50,Head Start
50,Health Centers (BPHC)   
50,Enterprise Resource Programs (ERP)
50,HIV/AIDS International (HAB PEPFAR)
50,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
50,Uniform Guidance (45 CFR Part 75)
52,Population Assessment of Tobacco and Health Study (PATH)
54,Population Assessment of Tobacco and Health Study (PATH)
55,Population Assessment of Tobacco and Health Study (PATH)
57,"Maternal and Child Heath (MCHB, ACF)"
58,Enterprise Resource Programs (ERP)
58,Evidence-based Home Visiting
58,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
58,Uniform Guidance (45 CFR Part 75)
59,HIV/AIDS Domestic (HAB Ryan White)
62,HIV/AIDS International (HAB PEPFAR)
65,HIV/AIDS International (HAB PEPFAR)
66,Health Centers (BPHC)   
67,"Maternal and Child Heath (MCHB, ACF)"
72,HIV/AIDS Domestic (HAB Ryan White)
73,Health Centers (BPHC)   
73,HIV/AIDS Domestic (HAB Ryan White)
73,HIV/AIDS International (HAB PEPFAR)
75,HIV/AIDS Domestic (HAB Ryan White)
77,HIV/AIDS International (HAB PEPFAR)
78,Population Assessment of Tobacco and Health Study (PATH)
82,Population Assessment of Tobacco and Health Study (PATH)
83,HIV/AIDS Domestic (HAB Ryan White)
84,HIV/AIDS International (HAB PEPFAR)
86,HIV/AIDS Domestic (HAB Ryan White)
86,HIV/AIDS International (HAB PEPFAR)
86,"Maternal and Child Heath (MCHB, ACF)"
87,Population Assessment of Tobacco and Health Study (PATH)
89,"Maternal and Child Heath (MCHB, ACF)"
89,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
90,HIV/AIDS Domestic (HAB Ryan White)
96,HIV/AIDS International (HAB PEPFAR)
116,HIV/AIDS International (HAB PEPFAR)
120,HIV/AIDS International (HAB PEPFAR)
136,HIV/AIDS Domestic (HAB Ryan White)
139,HIV/AIDS International (HAB PEPFAR)
145,Enterprise Resource Programs (ERP)
145,Evidence-based Home Visiting
145,Health Centers (BPHC)
145,HIV/AIDS Domestic (HAB Ryan White)
145,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
145,The HIV/AIDS Bureau (HAB)
145,Uniform Guidance (45 CFR Part 75)
147,HIV/AIDS International (HAB PEPFAR)
152,HIV/AIDS International (HAB PEPFAR)
155,HIV/AIDS International (HAB PEPFAR)
155,The Joint United Nations Programme on HIV/AIDS (UNAIDS)
156,HIV/AIDS Domestic (HAB Ryan White)
159,HIV/AIDS International (HAB PEPFAR)
162,Nursing Education Partnership Initiative (NEPI)
163,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
163,Uniform Guidance (45 CFR Part 75)
164,HIV/AIDS International (HAB PEPFAR)
166,HIV/AIDS International (HAB PEPFAR)
168,HIV/AIDS International (HAB PEPFAR)
181,Early Head Start
181,Enterprise Resource Programs (ERP)
181,Evidence-based Home Visiting
181,Head Start
181,Head Start Enterprise System
181,"Maternal, Infant, and Early Childhood Home Visiting Program (MIECHV)"
